row_id,symboling,normalized_losses,make,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,city-L/100km,highway-L/100km,horsepower_binned,diesel,gas,normal,turbo
1,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811,0.89,0.816,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,11.19,8.704,Low,0,1,1,0
2,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811,0.89,0.816,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,11.19,8.704,Low,0,1,1,0
3,1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.823,0.91,0.876,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,12.368,9.038,Medium,0,1,1,0
4,2,164,audi,four,sedan,fwd,front,99.8,0.849,0.919,0.908,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,9.792,7.833,Low,0,1,1,0
5,2,164,audi,four,sedan,4wd,front,99.4,0.849,0.922,0.908,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,13.056,10.682,Low,0,1,1,0
6,2,122,audi,two,sedan,fwd,front,99.8,0.852,0.921,0.888,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,12.368,9.4,Low,0,1,1,0
7,1,158,audi,four,sedan,fwd,front,105.8,0.926,0.992,0.931,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,12.368,9.4,Low,0,1,1,0
8,1,122,audi,four,wagon,fwd,front,105.8,0.926,0.992,0.931,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,12.368,9.4,Low,0,1,1,0
9,1,158,audi,four,sedan,fwd,front,105.8,0.926,0.992,0.935,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,13.824,11.75,Medium,0,1,0,1
10,2,192,bmw,two,sedan,rwd,front,101.2,0.85,0.9,0.908,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,10.217,8.103,Low,0,1,1,0
11,0,192,bmw,four,sedan,rwd,front,101.2,0.85,0.9,0.908,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,10.217,8.103,Low,0,1,1,0
12,0,188,bmw,two,sedan,rwd,front,101.2,0.85,0.9,0.908,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,11.19,8.393,Medium,0,1,1,0
13,0,188,bmw,four,sedan,rwd,front,101.2,0.85,0.9,0.908,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,11.19,8.393,Medium,0,1,1,0
14,1,122,bmw,four,sedan,rwd,front,103.5,0.908,0.929,0.931,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,11.75,9.4,Medium,0,1,1,0
15,0,122,bmw,four,sedan,rwd,front,103.5,0.908,0.929,0.931,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,14.688,10.682,Medium,0,1,1,0
16,0,122,bmw,two,sedan,rwd,front,103.5,0.931,0.943,0.898,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,14.688,10.682,Medium,0,1,1,0
17,0,122,bmw,four,sedan,rwd,front,110,0.947,0.985,0.941,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,15.667,11.75,Medium,0,1,1,0
18,2,121,chevrolet,two,hatchback,fwd,front,88.4,0.678,0.837,0.89,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,5,4.434,Low,0,1,1,0
19,1,98,chevrolet,two,hatchback,fwd,front,94.5,0.749,0.883,0.87,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,6.184,5.465,Low,0,1,1,0
20,0,81,chevrolet,four,sedan,fwd,front,94.5,0.763,0.883,0.87,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,6.184,5.465,Low,0,1,1,0
21,1,118,dodge,two,hatchback,fwd,front,93.7,0.756,0.886,0.849,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,6.351,5.732,Low,0,1,1,0
22,1,118,dodge,two,hatchback,fwd,front,93.7,0.756,0.886,0.849,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,7.581,6.184,Low,0,1,1,0
